#group,false,false,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,long,long,long,long,long,long,long,double,string,double,string,long,string,string,long,long,long,long
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,pci,rnti,testbed,bsr,cqi,dl_brate,dl_bs,dl_mcs,dl_nof_nok,dl_nof_ok,pucch_snr_db,pucch_ta_ns,pusch_snr_db,pusch_ta_ns,ri,srs_ta_ns,ta_ns,ul_brate,ul_mcs,ul_nof_nok,ul_nof_ok
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:52.338Z,ue_info,1,4601,default,0,15,10096,0,24,0,12,4.8431253,244.557697,32.276,134.785964,1,n/a,242.405349,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:53.342Z,ue_info,1,4601,default,0,15,8400,0,24,0,10,4.2674727,216.664660,32.638,384.012850,1,n/a,219.945946,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:54.341Z,ue_info,1,4601,default,0,15,7632,0,24,0,9,5.846679,251.485204,33.835,261.942546,1,n/a,251.887371,9728,27,0,2
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:55.341Z,ue_info,1,4601,default,0,15,9248,0,24,0,11,2.276955,216.847738,26.866001,404.866540,1,n/a,220.534403,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:56.341Z,ue_info,1,4601,default,0,15,10944,0,24,0,13,4.2813807,245.198549,37.140003,174.967454,1,n/a,243.821461,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:57.341Z,ue_info,1,4601,default,0,15,9208,0,24,0,11,5.223694,280.375161,36.584,271.097804,1,n/a,280.018355,9728,27,0,2
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:58.341Z,ue_info,1,4601,default,0,15,13408,0,24,2,16,5.3735557,271.575914,37.730003,135.803219,1,n/a,268.913738,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:59.341Z,ue_info,1,4601,default,0,15,10176,0,24,0,12,5.4996433,249.186172,35.691,239.817297,1,n/a,248.825785,9728,27,0,2
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:34:00.341Z,ue_info,1,4601,default,0,15,25576,0,24,0,26,8.179033,243.001267,32.18957,281.197686,1,n/a,251.356795,75256,27,3,11
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:34:01.341Z,ue_info,1,4601,default,0,15,46416,0,24,0,24,6.097394,225.911435,34.236668,229.051381,1,n/a,226.089142,14592,27,0,3
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:34:02.341Z,ue_info,1,4601,default,0,15,34392,0,24,0,19,7.5701933,250.630677,35.73829,200.398773,1,n/a,244.461944,40008,27,0,7
